,DBWT
0,2710
1,3505
2,2480
3,3340
4,2296
5,2295
6,2381
7,3679
8,2243
9,3374
10,2910
11,3825
12,2600
13,3033
14,3383
15,3430
16,3860
17,3390
18,3580
19,3184
20,3290
21,3657
22,3155
23,2320
24,2848
25,3509
26,3374
27,2760
28,3490
29,2130
30,3033
31,2693
32,2778
33,1984
34,3321
35,3270
36,3941
37,3912
38,4082
39,2880
40,3118
41,2770
42,2410
43,2778
44,3459
45,3799
46,4090
47,3175
48,3110
49,3205
50,2917
51,2735
52,1360
53,4070
54,3686
55,3542
56,3990
57,3190
58,3255
59,2410
60,3055
61,3360
62,3730
63,3260
64,2461
65,3260
66,3265
67,2780
68,3640
69,3550
70,3544
71,2850
72,2885
73,3113
74,3969
75,3295
76,3289
77,3825
78,1570
79,3180
80,3317
81,3147
82,3905
83,3360
84,3195
85,3402
86,2190
87,2880
88,3374
89,3403
90,3005
91,2869
92,3730
93,2865
94,3115
95,3290
96,3884
97,3296
98,2977
99,2600
100,3397
101,3890
102,4660
103,3686
104,3352
105,3435
106,3000
107,3385
108,3600
109,3400
110,4720
111,3245
112,3406
113,3335
114,3842
115,3880
116,3390
117,3840
118,4309
119,300
120,4005
121,3540
122,3360
123,1758
124,2170
125,3175
126,3490
127,3437
128,2580
129,3440
130,3487
131,3572
132,3210
133,3780
134,3317
135,3578
136,4019
137,3290
138,3487
139,2943
140,3487
141,2677
142,4110
143,2863
144,2760
145,3657
146,3365
147,3490
148,3530
149,3714
150,4330
151,3270
152,3730
153,4430
154,3470
155,3635
156,2438
157,3670
158,3714
159,3295
160,3544
161,3300
162,4570
163,2707
164,2972
165,3742
166,4700
167,3945
168,3884
169,4210
170,4349
171,3075
172,3190
173,3160
174,2900
175,2715
176,3350
177,3865
178,1240
179,3175
180,2325
181,3345
182,4593
183,2780
184,3225
185,3446
186,3485
187,2098
188,3378
189,3150
190,3232
191,3629
192,3686
193,3125
194,3380
195,2337
196,3749
197,3780
198,2971
199,3884
200,3310
201,2810
202,3895
203,3380
204,2495
205,2778
206,3657
207,3000
208,3260
209,4536
210,2892
211,2778
212,3539
213,4054
214,2013
215,3120
216,2895
217,2665
218,3374
219,2948
220,3760
221,3165
222,3910
223,3387
224,2580
225,2580
226,3374
227,3750
228,3486
229,2830
230,3890
231,3500
232,4160
233,2550
234,3240
235,3550
236,2523
237,3686
238,3180
239,3465
240,2381
241,3190
242,3497
243,2490
244,3770
245,3147
246,4540
247,3289
248,3710
249,2705
250,3410
251,3827
252,2870
253,3147
254,3374
255,3850
256,3275
257,3062
258,3235
259,4309
260,4252
261,3657
262,3001
263,3941
264,3520
265,3657
266,3715
267,2210
268,1770
269,3540
270,3390
271,3658
272,3650
273,3305
274,3560
275,2336
276,3770
277,3635
278,2975
279,3204
280,3590
281,3430
282,3190
283,1470
284,3884
285,3289
286,3170
287,1330
288,3204
289,3155
290,3634
291,2835
292,3070
293,3288
294,3250
295,3560
296,4000
297,3487
298,3595
299,2466
300,3459
301,2635
302,4035
303,2940
304,3320
305,3980
306,3088
307,3095
308,2790
309,4082
310,3600
311,4025
312,3270
313,3629
314,3827
315,2575
316,3410
317,4110
318,2899
319,2863
320,3315
321,3350
322,3175
323,3390
324,2630
325,3176
326,2665
327,3459
328,510
329,1247
330,2948
331,3368
332,3740
333,3080
334,3713
335,3520
336,3164
337,3420
338,1585
339,3096
340,3220
341,3316
342,2722
343,4030
344,3629
345,3090
346,2850
347,2455
348,3385
349,3657
350,3805
351,3146
352,2990
353,3969
354,3590
355,4490
356,1820
357,3900
358,3400
359,3799
360,3540
361,2105
362,3544
363,3280
364,3050
365,3430
366,4400
367,3249
368,3572
369,4400
370,3033
371,2760
372,4730
373,4130
374,2551
375,4593
376,2440
377,3862
378,3318
379,2978
380,3750
381,3686
382,3664
383,3670
384,2098
385,2807
386,4593
387,2790
388,2620
389,4620
390,2608
391,3120
392,1701
393,3525
394,4026
395,3325
396,3365
397,2680
398,2662
399,2495
400,3305
401,3772
402,2110
403,2296
404,2940
405,3450
406,3430
407,3600
408,3480
409,3750
410,3260
411,3260
412,2438
413,4280
414,3330
415,3226
416,2892
417,3250
418,2438
419,3445
420,3450
421,4190
422,3535
423,2390
424,4220
425,3360
426,2892
427,2778
428,3520
429,3345
430,3526
431,3550
432,2750
433,2977
434,3515
435,3155
436,4170
437,2506
438,3470
439,3810
440,362
441,3205
442,3065
443,3827
444,3204
445,3320
446,3180
447,2466
448,3950
449,2340
450,3430
451,3457
452,3203
